VARIABLE NAME,DESCRIPTION,SAS ANALYSIS FORMAT,SAS SYSTEM DATA LENGTH,SAS FORMAT,FORM,VAR START DATE,VAR END DATE,FORM SECTION,DATA TYPE,INTERPRETATION_TYPE,Delete When,nas,VARIABLE LABEL IN SAS DATA,COMMENT 
CALC_LAS_LISTDATE,Candidate Final Calculated Lung Allocation Score on Date of Listing,,,,CALCULATED,,,,NUM,NUM,,,Last Calculated Lung Allocation Score at Listing,"Candidates are sometimes registered on Waitlist with some information used to calculate LAS missing or not reported to begin accruing waiting time and being able to receive offers, and then the missing information is reported over the next few hours. Because of this, we created this field to hold the final LAS value calculated for the candidate on the date of listing, after the listing center has had time to report all of the candidate’s medical factors."
CANCER_FREE_INT_DON,DECEASED DONOR-CANCER FREE INTERVAL (YEARS),,8,6,DDR,1-Apr-94,,DONOR HISTORY,NUM,NUM,,,DDR CANCER FREE INTERVAL,
CANCER_OTH_OSTXT_DON,DECEASED DONOR-CANCER SITE-OTHER SPECIFY,,50,$50.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,,,DDR OTHER CANCER SITE SPECIFY,I made it D because too many level with few observations
CANCER_SITE_DON,DECEASED DONOR-CANCER SITE,HISTCAN,8,6,DDR,1-Apr-94,,DONOR HISTORY,NUM,CHAR,,998,DDR CANCER SITE,
CARD_IDX_INIT_DON,DDR:Cardiac Index (initial) //Cardiac Index: (L/min/sq.m),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR:Cardiac Index (initial) //Cardiac Index: (L/min/sq.m),
CARD_IDX_POST_DON,DDR:Cardiac Index (final) //Cardiac Index:,,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR:Cardiac Index (final) //Cardiac Index:,
CARDARREST_NEURO,DECEASED DONOR-CARDIAC ARREST POST BRAIN DEATH,,1,$1.00 ,DDR,25-Oct-99,,CLINICAL INFORMATION,CHAR,CHAR,,U,DON CARDIAC ARR. SINCE EVENT THAT LED TO DECL OF DEATH,
CARDIAC_OUTPUT_CATH_INIT_DON,DDR INITIAL CARDIAC OUTPUT (L/MIN),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR INITIAL CARDIAC OUTPUT (L/MIN),
CARDIAC_OUTPUT_CATH_OLD_DON,ARCHIVED DDR CARDIAC OUTPUT,,8,10.2,DDR,25-Oct-99,30-Jun-04,ORGAN RECOVERY,NUM,NUM,,,ARCHIVED DDR CARDIAC OUTPUT,
CARDIAC_OUTPUT_CATH_POST_DON,DDR FINAL CARDIAC OUTPUT (L/MIN),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR FINAL CARDIAC OUTPUT (L/MIN),
CDC_RISK_HIV_DON,"DDR: Per PHS, Does the Donor Have Risk Factors for Blood-Borne Disease Transmission?",,1,$1.00 ,DDR,30-Jun-04,,DONOR HISTORY,CHAR,CHAR,,,"DDR: Per PHS, Does the Donor Have Risk Factors for Blood-Borne Disease Transmission?",
CEREB_VASC,PATIENT SYMPTOMATIC CEREBROVASCULAR DISEASE @ REGISTRATION,,1,$1.00 ,TCR,1-Apr-94,1-Jan-07,CLINICAL INFORMATION,CHAR,CHAR,,,TCR CEREBROVASCULAR DISEASE,
CHEST_XRAY_DON,DDR CHEST XRAY,LUCHESTX,8,6,DDR,25-Oct-99,,ORGAN RECOVERY,NUM,CHAR,,998; 999,DDR CHEST XRAY,
CIG_GRT_10_OLD,HISTORY OF CIGARETTE USE >10 PACK YEARS @ REGISTRATION,,1,$1.00 ,TCR,25-Oct-99,30-Jun-04,CLINICAL INFORMATION,CHAR,CHAR,,,TCR HISTORY OF CIGARETTE USE GREATER THAN 10,"ONLY COLLECTED ON THE HEART AND HEART-LUNG TCR, NOT COLLECTED ON LU TCR."
CIG_USE,HISTORY OF CIGARETTE USE,,1,$1.00 ,TCR,30-Jun-04,,CLINICAL INFORMATION,CHAR,CHAR,,,TCR HISTORY OF CIGARETTE USE,
CITIZEN_COUNTRY,CANDIDATE COUNTRY OF PERMANENT RESIDENCE @ REGISTRATION,$CTRY,3,$3.00 ,TCR,31-Mar-15,,CANDIDATE INFORMATION,CHAR,CHAR,,,TCR Country of Permanent Residence,
CITIZENSHIP,RECIPIENT CITIZENSHIP @ REGISTRATION,CITIZEN,8,6,TCR,1-Oct-87,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR CITIZENSHIP,too many non american
CITIZENSHIP_DON,DONOR CITIZENSHIP,CITIZEN,8,6,DDR/LDR,1-Oct-87,,DONOR INFORMATION,NUM,CHAR,,,DR CITIZENSHIP,too many non american
CLIN_INFECT_DON,"DECEASED DONOR-CLINICAL INFECTION (Y,N)",,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR ANY CLINICAL INFECTION,
CMV_DON,"DONOR SEROLOGY ANTI CMV (FOR LIVING DONOR, PRE UNET DATA ONLY)",$SERSTAT,2,$2.00 ,CDR/LDR,"01-Oct-87, 01-Oct-90",,CLINICAL INFORMATION,CHAR,CHAR,"C, ND, U (I= indeterminate)",C; ND; U; I,DONOR SEROLOGY ANTI CMV ,DECEASED DONORS: 10/1/87-PRESENT; LIVING DONORS 10/1/90-10/25/99
CMV_IGG,RECIPIENT-CMV BY IGG TEST RESULT  @ TRANSPLANT,$SERSTAT,2,$2.00 ,TRR,25-Oct-99,31-Mar-15,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,"ND, u",ND; U,TRR CMV BY IGG: PRE 3/31/2015,
CMV_IGG_DON,LIVING DONOR-CMV BY IGG TEST RESULT,$SERSTAT,2,$2.00 ,LDR,25-Oct-99,,CLINICAL INFORMATION,CHAR,CHAR,"ND, U",ND; U,LDR CMV IGG,
CMV_IGM,RECIPIENT-CMV BY IGM TEST RESULT  @ TRANSPLANT,$SERSTAT,2,$2.00 ,TRR,25-Oct-99,31-Mar-15,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,ND; U,TRR CMV BY IGM: PRE 3/31/2015,
CMV_IGM_DON,LIVING DONOR-CMV BY IGM TEST RESULT,$SERSTAT,2,$2.00 ,LDR,25-Oct-99,,CLINICAL INFORMATION,CHAR,CHAR,"ND, U",ND; U,LDR CMV IGM,
CMV_NUCLEIC_DON,DONOR CMV BY NUCLEIC ACID,$SERSTAT,2,$2.00 ,LDR,1-Apr-94,,,CHAR,CHAR,"ND, U",ND; U,"LDR CMV NUCLEIC ACID (P,N,ND,U)",
CMV_OLD_LIV_DON,LIV DONOR CMV -SEROLOGY (PRE 10/25/99 DATA),$SERSTAT,2,$2.00 ,LDR,1-Oct-90,25-Oct-99,,CHAR,CHAR,,ND; U,"LDR CMV READONLY (P,N,ND,U)",
CMV_STATUS,RECIPIENT CMV Status @ TRANSPLANT,$SERSTAT,2,$2.00 ,TRR,31-Mar-15,,CLINICAL INFORMATION,CHAR,CHAR,"ND, U",ND; U,TRR CMV Status,
CMV_TEST_DON,LIV DONOR CMV TESTED?,,1,$1.00 ,LDR,1-Oct-90,,,CHAR,CHAR,U,U,"LDR CMV TESTED (Y,N,U)",
COD,RECIPIENT PRIMARY CAUSE OF DEATH,TH_COD,8,,TRF/TRR,1-Oct-87,,PATIENT STATUS,NUM,D,998 (999 is other specify),998,TRR/TRF PRIMARY CAUSE OF DEATH,
COD_CAD_DON,DECEASED DONOR-CAUSE OF DEATH,DON_COD,8,6,DDR,1-Oct-87,,DONOR INFORMATION,NUM,CHAR,,,DECEASED DONOR CAUSE OF DEATH,
COD_LIV_DON,LIVING DONOR CAUSE OF DEATH,,8,6,LDF,25-Oct-99,,PATIENT STATUS,NUM,CHAR,,,LIVING DONOR CAUSE OF DEATH,
COD_OSTXT,RECIPIENT PRIMARY CAUSE OF DEATH - OTHER SPECIFY,,50,$50.00 ,TRF/TRR,1-Oct-87,,PATIENT STATUS,CHAR,D,,,TRR/TRF PRIMARY CAUSE OF DEATH TEXT,
COD_OSTXT_DON,DECEASED DONOR-CAUSE OF DEATH-OTHER SPECIFY,,50,$50.00 ,DDR,1-Oct-87,,DONOR INFORMATION,CHAR,CHAR,,,DDR CAUSE OF DEATH OTHER TEXT,
COD_OSTXT_WL,"WL CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL, OTHER SPECIFIED",,50,$50.00 ,TCR,3-Dec-03,,,CHAR,D,,,"WL CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL, OTHER SPECIFIED",
COD_WL,CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL,TH_COD,8,11,TCR,3-Dec-03,,,NUM,D,,,WL CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL,
COD2,RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1,TH_COD,8,,TRF/TRR,30-Jun-04,,PATIENT STATUS,NUM,D,998 (999 is other specify),998,TRR/TRF CONTRIBUTARY CAUSE OF DEATH:1,
COD2_OSTXT,RECIPIENT CONTRIBUTARY CAUSE OF DEATH 1- OTHER SPECIFY,,50,$50.00 ,TRF/TRR,30-Jun-04,,PATIENT STATUS,CHAR,D,x,,TRR/TRF CONTRIBUTARY CAUSE OF DEATH:1 TEXT,
COD3,RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2,TH_COD,8,,TRF/TRR,30-Jun-04,,PATIENT STATUS,NUM,D,998 (999 is other specify),998,TRR/TRF CONTRIBUTARY CAUSE OF DEATH:2,
COD3_OSTXT,RECIPIENT CONTRIBUTARY CAUSE OF DEATH 2- OTHER SPECIFY,,50,$50.00 ,TRF/TRR,30-Jun-04,,PATIENT STATUS,CHAR,D,,,TRR/TRF CONTRIBUTARY CAUSE OF DEATH:2 TEXT,
COGNITIVE_DEV_TRR,TRR COGNITIVE DEVELOPMENT (PEDIATRIC),COGNITIVE_DEV,8,6,TRR,1-Mar-08,,PATIENT STATUS,NUM,CHAR,,,TRR COGNITIVE DEVELOPMENT,
COMPOSITE_DEATH_DATE,Composite Patient Death Date from OPTN or Verified from External Sources,,8,MMDDYY10.,TRR/TRF-CALCULATED,,,,NUM,D,,,Composite Patient Death Date from OPTN or Verified from External Sources,
CONTIN_ALCOHOL_OLD_DON,DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY+ RECENT 6MO USE,,1,$1.00 ,DDR,1-Apr-94,30-Jun-04,DONOR HISTORY,CHAR,CHAR,U,U,"ARCHIVED DDR CONTIN ALCOHOL (Y,N,U)",
CONTIN_CIG_DON,DECEASED DONOR-HISTORY OF CIGARETTES IN PAST@ >20PACK YRS+RECENT 6MO USE,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR CONTINUED CIGARETTE USE,
CONTIN_CIG_OLD,CIGARETTE USE > 10 PACK YRS AND CONINUED USE DURING LAST SIX MONTHS,,1,$1 ,TCR,25-Oct-99,30-Jun-04,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,U,U,TCR CIGARETTE USE > 10 PACK YRS AND CONTINUED USE DURING LAST 6 MONTHS AT LISTING (PRE 6/30/2004),
CONTIN_COCAINE_DON,DECEASED DONOR-HISTORY OF COCAINE USE+RECENT 6MO USE,,1,$1.00 ,DDR,25-Oct-99,,DONOR HISTORY,CHAR,CHAR,U,U,DDR COCAINE USE IN LAST 6 MONTHS (Y/N),
CONTIN_IV_DRUG_OLD_DON,DECEASED DONOR-HISTORY OF IV DRUG USE+RECENT 6MO USE,,1,$1.00 ,DDR,1-Apr-94,29-Jun-04,DONOR HISTORY,CHAR,CHAR,U,U,DDR CONTINUE IV DRUG USE,
CONTIN_OTH_DRUG_DON,DECEASED DONOR-HISTORY OF OTHER DRUGS IN PAST+RECENT 6MO USE,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR CONTINUED OTHER DRUG USE,
CONTROLLED,NON HEART BEATING DONOR: IF YES CONTROLLED,,1,$1.00 ,DDR,1-Apr-94,,ORGAN RECOVERY,CHAR,CHAR,,,DON CONTROLLED,
CORONARY_ANGIO,DECEASED DONOR CORONARY ANGIOGRAM: Y/N IF YES NORMAL: Y/N IF ABNORMAL # VESSELS WITH > 50% STENOSIS,ANGIO,8,6,DDR,25-Oct-99,,HEART DONOR'S CARDIAC FUNCTION,NUM,CHAR,,,DON CORONARY ANGIOGRAM,
CPRA,Recipient Most Recent CPRA,,8,6,RH,31-Mar-15,,CLINICAL INFORMATION,NUM,NUM,,,RH Most Recent CPRA,
CPRA_PEAK,RecipientPeak CPRA,,8,6,RH,31-Mar-15,,CLINICAL INFORMATION,NUM,NUM,,,RH Peak CPRA,
CREAT_DON,DECEASED DONOR-TERMINAL LAB CREATININE,,8,10.2,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,DDR TERMINAL LAB CREATININE,
CREAT_TRR,RECIPIENT SERUM CREATININE AT TIME OF TX,,8,10.2,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR SERUM CREATININE AT TIME OF TRANSPLANT,
CREAT2_OLD,MOST RECENT CREATININE > 2.0 MG/DL Y/N (ONLY COLLECTED 04/01/1994 TO 10/25/1999),,1,,TCR,1-Apr-94,25-Oct-99,,CHAR,CHAR,U,U,CREATIN GREATER THAN 2-OLD TCR,
CRSMATCH_DONE,CROSSMATCH DONE Y/N,,1,$1.00 ,RH,1-Apr-94,,TEST INFORMATION,CHAR,CHAR,,,RH CROSS MATCH DONE?,
CTR_CODE,ENCRYPTED TRANSPLANT CENTER CODE,,8,,CALCULATED,,,,CHAR,CHAR,,,,
CVP_CATH_INIT_DON,DDR CVP CATHETER INIT (MM/HG),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR CVP CATHETER INIT (MM/HG),
CVP_CATH_OLD_DON,ARCHIVED DDR CVP CATHETER,,8,10.2,DDR,25-Oct-99,30-Jun-04,ORGAN RECOVERY,NUM,NUM,,,ARCHIVED DDR CVP CATHETER,
CVP_CATH_POST_DON,DDR CVP CATHETER POST (MM/HG),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR CVP CATHETER POST (MM/HG),
DA1,DONOR A1 ANTIGEN,ALOCUS,4,,CALCULATED,1-Oct-87,,DONOR CENTER HISTOCOMPATIBILITY TYPING,NUM,CHAR,,,COMPUTED DONOR A1 ANTIGEN,
DA2,DONOR A2 ANTIGEN,ALOCUS,4,,CALCULATED,1-Oct-87,,DONOR CENTER HISTOCOMPATIBILITY TYPING,NUM,CHAR,,,COMPUTED DONOR A2 ANTIGEN,
DANTIARR_OLD,DECEASED DONOR GIVEN ANTIARRYTHMICS 24 HOURS PRIOR TO CROSS CLAMP,,1,,DDR,1-Apr-94,25-Oct-99,,CHAR,CHAR,U,U,DR DONOR GIVEN ANTIARRYTHMICS,
DATA_TRANSPLANT,Recipient TRR Data Reported,,1,$1.00 ,CALCULATED,,,,CHAR,D,,,RECIPIENT TRR DATA REPORTED,
DATA_WAITLIST,Candidate WL Data Reported,,1,$1.00 ,CALCULATED,,,,CHAR,D,,,CANDIDATE WL DATA REPORTED,
DAYS_STAT1,DAYS IN STATUS 1,,4,5,CALCULATED,,,situation in waiting list,NUM,NUM,,,DAYS IN STATUS 1,
DAYS_STAT1A,DAYS IN STATUS 1A,,4,5,CALCULATED,,,situation in waiting list,NUM,NUM,,,DAYS IN STATUS 1A,
DAYS_STAT1B,DAYS IN STATUS 1B,,4,5,CALCULATED,,,situation in waiting list,NUM,NUM,,,DAYS IN STATUS 1B,
DAYS_STAT2,DAYS IN STATUS 2,,4,5,CALCULATED,,,situation in waiting list,NUM,NUM,,,DAYS IN STATUS 2,
DAYSWAIT_CHRON,TOTAL DAYS ON WAITING LIST,,4,6,CALCULATED,,,,NUM,NUM,,,DAYS ON WAITING LIST,
DB1,DONOR B1 ANTIGEN,BLOCUS,4,,CALCULATED,1-Oct-87,,DONOR CENTER HISTOCOMPATIBILITY TYPING,NUM,CHAR,,,COMPUTED DONOR B1 ANTIGEN,
DB2,DONOR B2 ANTIGEN,BLOCUS,4,,CALCULATED,1-Oct-87,,DONOR CENTER HISTOCOMPATIBILITY TYPING,NUM,CHAR,,,COMPUTED DONOR B2 ANTIGEN,
DDAVP_DON,DECEASED DONOR-SYNTHETIC ANTI DIURETIC HORMONE (DDAVP),,1,$1.00 ,DDR,25-Oct-99,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR DONOR GIVEN SYNTHETIC ANTI DIURETIC HORMONE (DDAVP),
DDR1,DONOR DR1 ANTIGEN,DRLOCUS,4,,CALCULATED,1-Oct-87,,DONOR CENTER HISTOCOMPATIBILITY TYPING,NUM,CHAR,,,COMPUTED DONOR DR1 ANTIGEN,
DDR2,DONOR DR2 ANTIGEN,DRLOCUS,4,,CALCULATED,1-Oct-87,,DONOR CENTER HISTOCOMPATIBILITY TYPING,NUM,CHAR,,,COMPUTED DONOR DR2 ANTIGEN,
DEATH_CIRCUM_DON,DECEASED DONOR-CIRCUMSTANCE OF DEATH,DTHCIRC,8,6,DDR,1-Apr-94,,DONOR INFORMATION,NUM,CHAR,,,DDR CIRCUMSTANCE OF DEATH,
DEATH_DATE,"DATE DIED, FOR PATIENT REMOVED FROM THE WAITING LIST FOR REASON OF DEATH",,4,MMDDYY10.,WAITING LIST DATA,25-Oct-99,,WAITING LIST DATA,NUM,D,,,WL DATE OF DEATH/POST 10/25/99 REMOVALS,
DEATH_MECH_DON,DECEASED DONOR-MECHANISM OF DEATH,DTHMECH,8,6,DDR,1-Apr-94,,DONOR INFORMATION,NUM,CHAR,,,DDR MECHANISM OF DEATH,
DIAB,RECIPIENT DIABETES @ REGISTRATION,DIABTY,8,6,TCR,1-Apr-94,,CLINICAL INFORMATION,NUM,CHAR,,5; 998,TCR DIABETES,here level 4 is unkown (according to Medved 2018) but not always
DIABDUR_DON,DECEASED DONOR-DIABETES DURATION,HISTDIAB,8,,DDR,1-Apr-94,,DONOR HISTORY,NUM,CHAR,,,DDR DIABETES DURATION,UNROLLED FROM HIST_DIABETES_DON TO INCLUDE DURATION ONLY
DIABETES_DON,"DECEASED DONOR-HISTORY OF DIABETES (Y,N)",,1,,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,,,DDR DIABETES (Y/N),UNROLLED Y/N FIELD FROM HIST_DIABETES_DON
DIAG,RECIPIENT PRIMARY DIAGNOSIS,TH_DGN,8,,TRR>TCR,1-Oct-87,,PATIENT STATUS/CLINICAL INFORMATION,NUM,CHAR,,,THORACIC DIAGNOSIS FROM TRR/TCR," THIS FIELD DRAWS FROM ""AT TRANSPLANT"" AND IF NOT THERE THEN FROM TCR."
DIAG_OSTXT,RECIPIENT PRIMARY DIAGNOSIS SPECIFIED @ TRANSPLANT,,50,,TRR>TCR,1-Oct-87,,PATIENT STATUS/CLINICAL INFORMATION,CHAR,CHAR,,,THORACIC DIAGNOSIS AT TX (TEXT),
DIAL_AFTER_LIST,DIALYSIS OCCURRING BETWEEN LISTING AND TRANSPLANT,,1,$1.00 ,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR PRE-TRANSPLANT DIALYSIS - SINCE LISTING,
DIAL_PRIOR_TX,Calculated: Ever Dialysis Prior Tx?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,U,U,Calculated: Ever Dialysis Prior Tx?,
DIAL_TY_TCR,PATIENT TYPE OF DIALYSIS @ REGISTRATION,DIAL_TY,8,6,TCR,1-Apr-94,1-Jan-07,CLINICAL INFORMATION,NUM,CHAR,,,TCR DIALYSIS,
DIAST_PA_CATH_INIT_DON,DDR PA CATHETER INIT,,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR PA CATHETER INIT,
DIAST_PA_CATH_POST_DON,DDR PA CATHETER FINAL,,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR PA CATHETER FINAL,
DIASTOLIC_PA_CATH_OLD_DON,ARCHIVED DDR PA CATHETER DIASTOLIC,,8,10.2,DDR,25-Oct-99,30-Jun-04,ORGAN RECOVERY,NUM,NUM,,,ARCHIVED DDR PA CATHETER DIASTOLIC,
DIET_DON,DECEASED DONOR-HYPERTENSION DIET CONTROLLED,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR HYPERTENSION DIET,
DISCHARGE_DATE,RECIPIENT DISCHARGE DATE FROM TX CENTER,,8,MMDDYY10.,TRR,1-Apr-94,,PATIENT STATUS,NUM,D,,,TRR DATE OF DISCHARGE FROM TX CENTER,
DISTANCE,MILES FROM DONOR HOSP TO TX CENTER,,8,,CALCULATED,,,,NUM,NUM,,,DISTANCE DONOR HOSP TO TX CENTER (MILES),
DIURETICS_DON,DECEASED DONOR-HYPERTENSION DIURETIC CONTROLLED,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR HYPERTENSION DIURETICS,
